feature,importance
Sector_BANKING,0.05679073
Sector_PHARMA,0.056739222
Dist_From_52w_High,0.054975703
Sector_AUTO,0.054478895
MACD_Signal_Norm,0.04833988
Dist_From_52w_Low,0.048086703
Sector_FMCG,0.04622139
Sector_ENERGY,0.044911142
ATR_Pct,0.044852488
ADX_14,0.042676155
Price_to_SMA50,0.04027982
Sector_IT,0.03928963
MACD_Norm,0.039085418
OBV_Zscore,0.0386991
Volatility_20,0.03826287
BB_Width,0.036341492
Sector_METAL,0.035696886
Price_to_SMA20,0.033135742
RSI_14,0.031362284
MACD_Diff_Norm,0.030272547
Momentum_10_Pct,0.028052242
BB_PctB,0.027233409
Price_to_RollingMean10,0.0256643
Price_to_EMA20,0.023193197
DailyReturn,0.018328406
VolumeChange,0.01703032
